source,package,probable_app_name,purpose,transformation,target,status,target_action,alias_action
hyperos3-icons/apps/128/com.ss.android.auto.png,com.ss.android.auto,Auto,application icon,com.ss.android.auto -> auto,hyperos icons/apps/scalable/auto.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.ss.android.auto.png,com.ss.android.auto,Auto,application icon,com.ss.android.auto -> auto,hyperos icons/apps@2x/scalable/auto.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.ss.android.lark.png,com.ss.android.lark,Lark,application icon,com.ss.android.lark -> lark,hyperos icons/apps/scalable/lark.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.ss.android.lark.png,com.ss.android.lark,Lark,application icon,com.ss.android.lark -> lark,hyperos icons/apps@2x/scalable/lark.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.ss.android.ugc.aweme.lite.png,com.ss.android.ugc.aweme.lite,Lite,application icon,com.ss.android.ugc.aweme.lite -> ugc-aweme-lite,hyperos icons/apps/scalable/ugc-aweme-lite.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.ss.android.ugc.aweme.lite.png,com.ss.android.ugc.aweme.lite,Lite,application icon,com.ss.android.ugc.aweme.lite -> ugc-aweme-lite,hyperos icons/apps@2x/scalable/ugc-aweme-lite.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.ss.android.ugc.aweme.png,com.ss.android.ugc.aweme,Aweme,application icon,com.ss.android.ugc.aweme -> ugc-aweme,hyperos icons/apps/scalable/ugc-aweme.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.ss.android.ugc.aweme.png,com.ss.android.ugc.aweme,Aweme,application icon,com.ss.android.ugc.aweme -> ugc-aweme,hyperos icons/apps@2x/scalable/ugc-aweme.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.taobao.taobao.png,com.taobao.taobao,Taobao,application icon,com.taobao.taobao -> taobao-taobao,hyperos icons/apps/scalable/taobao-taobao.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.taobao.taobao.png,com.taobao.taobao,Taobao,application icon,com.taobao.taobao -> taobao-taobao,hyperos icons/apps@2x/scalable/taobao-taobao.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.android.pad.png,com.tencent.android.pad,Pad,application icon,com.tencent.android.pad -> android-pad,hyperos icons/apps/scalable/android-pad.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.android.pad.png,com.tencent.android.pad,Pad,application icon,com.tencent.android.pad -> android-pad,hyperos icons/apps@2x/scalable/android-pad.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.androidqqmail.png,com.tencent.androidqqmail,Androidqqmail,application icon,com.tencent.androidqqmail -> androidqqmail,hyperos icons/apps/scalable/androidqqmail.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.androidqqmail.png,com.tencent.androidqqmail,Androidqqmail,application icon,com.tencent.androidqqmail -> androidqqmail,hyperos icons/apps@2x/scalable/androidqqmail.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.mm.png,com.tencent.mm,Mm,application icon,com.tencent.mm -> wechat,hyperos icons/apps/scalable/wechat.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.mm.png,com.tencent.mm,Mm,application icon,com.tencent.mm -> wechat,hyperos icons/apps@2x/scalable/wechat.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.mobileqq.png,com.tencent.mobileqq,Mobileqq,application icon,com.tencent.mobileqq -> qq,hyperos icons/apps/scalable/qq.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.mobileqq.png,com.tencent.mobileqq,Mobileqq,application icon,com.tencent.mobileqq -> qq,hyperos icons/apps@2x/scalable/qq.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.news.png,com.tencent.news,News,application icon,com.tencent.news -> news,hyperos icons/apps/scalable/news.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.news.png,com.tencent.news,News,application icon,com.tencent.news -> news,hyperos icons/apps@2x/scalable/news.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.qq.png,com.tencent.qq,Qq,application icon,com.tencent.qq -> qq,hyperos icons/apps/scalable/qq.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.qq.png,com.tencent.qq,Qq,application icon,com.tencent.qq -> qq,hyperos icons/apps@2x/scalable/qq.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.qqlive.png,com.tencent.qqlive,Qqlive,application icon,com.tencent.qqlive -> qqlive,hyperos icons/apps/scalable/qqlive.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.qqlive.png,com.tencent.qqlive,Qqlive,application icon,com.tencent.qqlive -> qqlive,hyperos icons/apps@2x/scalable/qqlive.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.qqmusic.png,com.tencent.qqmusic,Qqmusic,application icon,com.tencent.qqmusic -> qqmusic,hyperos icons/apps/scalable/qqmusic.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.tencent.qqmusic.png,com.tencent.qqmusic,Qqmusic,application icon,com.tencent.qqmusic -> qqmusic,hyperos icons/apps@2x/scalable/qqmusic.svg,mapped,exists-skip,alias-exists-skip
